id	name	class
!!a	a	MagicKnight	No
hounda	Hound	Monster	A
howlhound	Howl	Monster	No
howlhounda	Howl	Monster	A
howlwolf	Howl	Monster	No
howlwolfa	Howl	Monster	A
howlwolfb	Howl	Monster	B
icelancem	Ice Lance	Monster	No
icelancema	Ice Lance	Monster	A
icelancemb	Ice Lance	Monster	B
maneuverh	Maneuver	Monster	No
multishotm	Multishot	Monster	No
packleader	Pack Leader	Monster	No
packleadera	Pack Leader	Monster	A
packleaderb	Pack Leader	Monster	B
pommelm	Pommel	Monster	No
quickshotm	Quick Shot	Monster	No
rupturem	Rupture	Monster	No
scattershotm	Scattershot	Scout	No
scorchingheat	Scorching Heat	Warrior	No
slicem	Slice	Monster	No
slicema	Slice	Monster	A
slicemb	Slice	Monster	A
spikedballm	Spiked Ball	Monster	No
spikedshieldm	Spiked Shield	Monster	No
standardbearerm	Standard Bearer	Monster	No
takingaimm	Taking Aim	Scout	No
throwspear	Throw Spear	Monster	No
throwspeara	Throw Spear	Monster	A
thunderrune	Thunder Rune	Monster	No
thunderrunea	Thunder Rune	Monster	A
thunderrunem	Thunder Rune	Monster	No
unforgivingnaturem	Unforgiving Nature	Monster	No
wildhuntm	Wild Hunt	Monster	No
wildroar	Wild Roar	Monster	No
wildroara	Wild Roar	Monster	A
wildroarb	Wild Roar	Monster	B
wildroarm	Wild Roar	Monster	No
zapm	Zap	Healer	No
reducecurses	ReduceCurses	MagicKnight	No
acrobaticstrike	Acrobatic Strike	Scout	No
acrobaticstrikea	Acrobatic Strike	Scout	A
acrobaticstrikeb	Acrobatic Strike	Scout	B
acrobaticstrikerare	Acrobatic Strike	Scout	Rare
adrenaline	Adrenaline	Scout	No
adrenalinea	Adrenaline	Scout	A
adrenalineb	Adrenaline	Scout	B
adrenalinerare	Adrenaline	Scout	Rare
aimedshot	Aimed Shot	Scout	No
aimedshota	Aimed Shot	Scout	A
aimedshotb	Aimed Shot	Scout	B
aimedshotrare	Aimed Shot	Scout	Rare
ambidextrous	Ambidextrous	Scout	No
ambidextrousa	Ambidextrous	Scout	A
ambidextrousb	Ambidextrous	Scout	B
ambidextrousrare	Ambidextrous	Scout	Rare
ambush	Ambush	Scout	No
ambusha	Ambush	Scout	A
ambushb	Ambush	Scout	B
ambushrare	Ambush	Scout	Rare
ammunitions	Ammunition	Scout	No
ammunitionsa	Ammunition	Scout	A
ammunitionsb	Ammunition	Scout	B
ammunitionsrare	Ammunition	Scout	Rare
annoyingwhistle	Annoying Whistle	Scout	No
annoyingwhistlea	Annoying Whistle	Scout	A
annoyingwhistleb	Annoying Whistle	Scout	B
annoyingwhistlerare	Annoying Whistle	Scout	Rare
backstab	Backstab	Scout	No
backstaba	Backstab	Scout	A
backstabb	Backstab	Scout	B
backstabrare	Backstab	Scout	Rare
balladofconquest	Ballad of Conquest	Scout	No
balladofconquesta	Ballad of Conquest	Scout	A
balladofconquestb	Ballad of Conquest	Scout	B
balladofconquestrare	Ballad of Conquest	Scout	Rare
balladofevasion	Ballad of Evasion	Scout	No
balladofevasiona	Ballad of Evasion	Scout	A
balladofevasionb	Ballad of Evasion	Scout	B
balladofevasionrare	Ballad of Evasion	Scout	Rare
bane	Bane	Scout	No
banea	Bane	Scout	A
baneb	Bane	Scout	B
banerare	Bane	Scout	Rare
barrage	Barrage	Scout	No
barragea	Barrage	Scout	A
barrageb	Barrage	Scout	B
barragerare	Barrage	Scout	Rare
bladedance	Blade Dance	Scout	No
bladedancea	Blade Dance	Scout	A
bladedanceb	Blade Dance	Scout	B
bladedancerare	Blade Dance	Scout	Rare
bladeflurry	Blade Flurry	Scout	No
bladeflurrya	Blade Flurry	Scout	A
bladeflurryb	Blade Flurry	Scout	B
bladeflurryrare	Blade Flurry	Scout	Rare
blur	Blur	Scout	No
blura	Blur	Scout	A
blurb	Blur	Scout	B
blurrare	Blur	Scout	Rare
burningshot	Burning Shot	Scout	No
burningshota	Burning Shot	Scout	A
burningshotb	Burning Shot	Scout	B
burningshotrare	Burning Shot	Scout	Rare
caltrops	Caltrops	Scout	No
caltropsa	Caltrops	Scout	A
caltropsb	Caltrops	Scout	B
caltropsrare	Caltrops	Scout	Rare
camouflage	Camouflage	Scout	No
camouflagea	Camouflage	Scout	A
camouflageb	Camouflage	Scout	B
camouflagerare	Camouflage	Scout	Rare
captivatingvoice	Captivating Voice	Scout	No
captivatingvoicea	Captivating Voice	Scout	A
captivatingvoiceb	Captivating Voice	Scout	B
captivatingvoicerare	Captivating Voice	Scout	Rare
chantofaccuracy	Chant of Accuracy	Scout	No
chantofaccuracya	Chant of Accuracy	Scout	A
chantofaccuracyb	Chant of Accuracy	Scout	B
chantofaccuracyrare	Chant of Accuracy	Scout	Rare
chantofinitiative	Chant of Initiative	Scout	No
chantofinitiativea	Chant of Initiative	Scout	A
chantofinitiativeb	Chant of Initiative	Scout	B
chantofinitiativerare	Chant of Initiative	Scout	Rare
corruptedblade	Corrupted Blade	Scout	No
corruptedbladea	Corrupted Blade	Scout	A
corruptedbladeb	Corrupted Blade	Scout	B
corruptedbladerare	Corrupted Blade	Scout	Rare
darkconcoction	Dark Concoction	Scout	No
darkconcoctiona	Dark Concoction	Scout	A
darkconcoctionb	Dark Concoction	Scout	B
darkconcoctionrare	Dark Concoction	Scout	Rare
debilitate	Debilitate	Scout	No
debilitatea	Debilitate	Scout	A
debilitateb	Debilitate	Scout	B
debilitaterare	Debilitate	Scout	Rare
deflect	Deflect	Scout	No
deflecta	Deflect	Scout	A
deflectb	Deflect	Scout	B
deflectrare	Deflect	Scout	Rare
detection	Detection	Scout	No
detectiona	Detection	Scout	A
detectionb	Detection	Scout	B
detectionrare	Detection	Scout	Rare
disengage	Disengage	Scout	No
disengagea	Disengage	Scout	A
disengageb	Disengage	Scout	B
disengagerare	Disengage	Scout	Rare
doublestrike	Double Strike	Scout	No
doublestrikea	Double Strike	Scout	A
doublestrikeb	Double Strike	Scout	B
doublestrikerare	Double Strike	Scout	Rare
dualstrike	Dual Strike	Scout	No
dualstrikea	Dual Strike	Scout	A
dualstrikeb	Dual Strike	Scout	B
dualstrikerare	Dual Strike	Scout	Rare
energizingserenade	Energizing Serenade	Scout	No
energizingserenadea	Energizing Serenade	Scout	A
energizingserenadeb	Energizing Serenade	Scout	B
energizingserenaderare	Energizing Serenade	Scout	Rare
eternallullaby	Eternal Lullaby	Scout	No
eternallullabya	Eternal Lullaby	Scout	A
eternallullabyb	Eternal Lullaby	Scout	B
eternallullabyrare	Eternal Lullaby	Scout	Rare
etherealknives	Ethereal Knives	Special	No
etherealknivesa	Ethereal Knives	Special	A
etherealknivesb	Ethereal Knives	Special	B
evanescence	Evanescence	Scout	No
evanescencea	Evanescence	Scout	A
evanescenceb	Evanescence	Scout	B
evanescencerare	Evanescence	Scout	Rare
eviscerate	Eviscerate	Scout	No
evisceratea	Eviscerate	Scout	A
eviscerateb	Eviscerate	Scout	B
evisceraterare	Eviscerate	Scout	Rare
explosiveshot	Explosive Shot	Scout	No
explosiveshota	Explosive Shot	Scout	A
explosiveshotb	Explosive Shot	Scout	B
explosiveshotrare	Explosive Shot	Scout	Rare
exposearmor	Expose Armor	Scout	No
exposearmora	Expose Armor	Scout	A
exposearmorb	Expose Armor	Scout	B
exposearmorrare	Expose Armor	Scout	Rare
fanofknives	Fan of Knives	Scout	No
fanofknivesa	Fan of Knives	Scout	A
fanofknivesb	Fan of Knives	Scout	B
fanofknivesrare	Fan of Knives	Scout	Rare
farshot	Far Shot	Scout	No
farshota	Far Shot	Scout	A
farshotb	Far Shot	Scout	B
farshotrare	Far Shot	Scout	Rare
feint	Feint	Scout	No
feinta	Feint	Scout	A
feintb	Feint	Scout	B
feintrare	Feint	Scout	Rare
findweakness	Find Weakness	Scout	No
findweaknessa	Find Weakness	Scout	A
findweaknessb	Find Weakness	Scout	B
findweaknessrare	Find Weakness	Scout	Rare
healingserenade	Healing Serenade	Scout	No
healingserenadea	Healing Serenade	Scout	A
healingserenadeb	Healing Serenade	Scout	B
healingserenaderare	Healing Serenade	Scout	Rare
hiddenweapon	Hidden Weapon	Scout	No
hiddenweapona	Hidden Weapon	Scout	A
hiddenweaponb	Hidden Weapon	Scout	B
hiddenweaponrare	Hidden Weapon	Scout	Rare
hitandrun	Hit and Run	Scout	No
hitandruna	Hit and Run	Scout	A
hitandrunb	Hit and Run	Scout	B
hitandrunrare	Hit and Run	Scout	Rare
huntersmark	Hunter's Mark	Scout	No
huntersmarka	Hunter's Mark	Scout	A
huntersmarkb	Hunter's Mark	Scout	B
huntersmarkrare	Hunter's Mark	Scout	Rare
iceshot	Ice Shot	Scout	No
iceshota	Ice Shot	Scout	A
iceshotb	Ice Shot	Scout	B
iceshotrare	Ice Shot	Scout	Rare
lastrequiem	Last Requiem	Scout	No
lastrequiema	Last Requiem	Scout	A
lastrequiemb	Last Requiem	Scout	B
lastrequiemrare	Last Requiem	Scout	Rare
lastreward	Last Reward	Scout	No
lastrewarda	Last Reward	Scout	A
lastrewardb	Last Reward	Scout	B
lastrewardrare	Last Reward	Scout	Rare
lethalshot	Lethal Shot	Scout	No
lethalshota	Lethal Shot	Scout	A
lethalshotb	Lethal Shot	Scout	B
lethalshotrare	Lethal Shot	Scout	Rare
multishot	Multishot	Scout	No
multishota	Multishot	Scout	A
multishotb	Multishot	Scout	B
multishotrare	Multishot	Scout	Rare
musicsheet	Music Sheet	Scout	No
musicsheeta	Music Sheet	Scout	A
musicsheetb	Music Sheet	Scout	B
musicsheetrare	Music Sheet	Scout	Rare
neurotoxin	Neurotoxin	Scout	No
neurotoxina	Neurotoxin	Scout	A
neurotoxinb	Neurotoxin	Scout	B
neurotoxinrare	Neurotoxin	Scout	Rare
neverendingstory	Neverending Story	Scout	No
neverendingstorya	Neverending Story	Scout	A
neverendingstoryb	Neverending Story	Scout	B
neverendingstoryrare	Neverending Story	Scout	Rare
odeofwar	Ode of War	Scout	No
odeofwara	Ode of War	Scout	A
odeofwarb	Ode of War	Scout	B
odeofwarrare	Ode of War	Scout	Rare
parry	Parry	Scout	No
parrya	Parry	Scout	A
parryb	Parry	Scout	B
parryrare	Parry	Scout	Rare
plagueshot	Plague Shot	Scout	No
plagueshota	Plague Shot	Scout	A
plagueshotb	Plague Shot	Scout	B
plagueshotrare	Plague Shot	Scout	Rare
poisoncatalyst	Poison Catalyst	Scout	No
poisoncatalysta	Poison Catalyst	Scout	A
poisoncatalystb	Poison Catalyst	Scout	B
poisoncatalystrare	Poison Catalyst	Scout	Rare
poisondart	Poison Dart	Scout	No
poisondarta	Poison Dart	Scout	A
poisondartb	Poison Dart	Scout	B
poisondartrare	Poison Dart	Scout	Rare
poisoneddaggers	Poisoned Daggers	Scout	No
poisoneddaggersa	Poisoned Daggers	Scout	A
poisoneddaggersb	Poisoned Daggers	Scout	B
poisoneddaggersrare	Poisoned Daggers	Scout	Rare
poisonflask	Poison Flask	Scout	No
poisonflaska	Poison Flask	Scout	A
poisonflaskb	Poison Flask	Scout	B
poisonflaskrare	Poison Flask	Scout	Rare
poisonousblood	Poisonous Blood	Scout	No
poisonousblooda	Poisonous Blood	Scout	A
poisonousbloodb	Poisonous Blood	Scout	B
poisonousbloodrare	Poisonous Blood	Scout	Rare
poisonousshot	Poisonous Shot	Scout	No
poisonousshota	Poisonous Shot	Scout	A
poisonousshotb	Poisonous Shot	Scout	B
poisonousshotrare	Poisonous Shot	Scout	Rare
poisonspray	Poison Spray	Scout	No
poisonspraya	Poison Spray	Scout	A
poisonsprayb	Poison Spray	Scout	B
poisonsprayrare	Poison Spray	Scout	Rare
puncture	Puncture	Scout	No
puncturea	Puncture	Scout	A
punctureb	Puncture	Scout	B
puncturerare	Puncture	Scout	Rare
quickshot	Quick Shot	Scout	No
quickshota	Quick Shot	Scout	A
quickshotb	Quick Shot	Scout	B
quickshotrare	Quick Shot	Scout	Rare
rainofarrows	Rain of Arrows	Scout	No
rainofarrowsa	Rain of Arrows	Scout	A
rainofarrowsb	Rain of Arrows	Scout	B
rainofarrowsrare	Rain of Arrows	Scout	Rare
rapidfire	Rapid Fire	Scout	No
rapidfirea	Rapid Fire	Scout	A
rapidfireb	Rapid Fire	Scout	B
rapidfirerare	Rapid Fire	Scout	Rare
rapidshoots	Rapid Shoots	Scout	No
revealingflask	Revealing Flask	Scout	No
revealingflaska	Revealing Flask	Scout	A
revealingflaskb	Revealing Flask	Scout	B
revealingflaskrare	Revealing Flask	Scout	Rare
reverberantverse	Reverberant Verse	Scout	No
reverberantversea	Reverberant Verse	Scout	A
reverberantverseb	Reverberant Verse	Scout	B
reverberantverserare	Reverberant Verse	Scout	Rare
ricochet	Ricochet	Scout	No
ricocheta	Ricochet	Scout	A
ricochetb	Ricochet	Scout	B
ricochetrare	Ricochet	Scout	Rare
rupture	Rupture	Scout	No
rupturea	Rupture	Scout	A
ruptureb	Rupture	Scout	B
rupturerare	Rupture	Scout	Rare
sarcasticsonnet	Sarcastic Sonnet	Scout	No
sarcasticsonneta	Sarcastic Sonnet	Scout	A
sarcasticsonnetb	Sarcastic Sonnet	Scout	B
sarcasticsonnetrare	Sarcastic Sonnet	Scout	Rare
sawblade	Saw Blade	Scout	No
sawbladea	Saw Blade	Scout	A
sawbladeb	Saw Blade	Scout	B
sawbladerare	Saw Blade	Scout	Rare
sawtoothknife	Sawtooth Knife	Scout	No
sawtoothknifea	Sawtooth Knife	Scout	A
sawtoothknifeb	Sawtooth Knife	Scout	B
sawtoothkniferare	Sawtooth Knife	Scout	Rare
scavenge	Scavenge	Scout	No
scavengea	Scavenge	Scout	A
scavengeb	Scavenge	Scout	B
scavengerare	Scavenge	Scout	Rare
setup	Setup	Scout	No
setupa	Setup	Scout	A
setupb	Setup	Scout	B
setuprare	Setup	Scout	Rare
shadowstep	Shadowstep	Scout	No
shadowstepa	Shadowstep	Scout	A
shadowstepb	Shadowstep	Scout	B
shadowsteprare	Shadowstep	Scout	Rare
sharpeningknife	Sharpening Knife	Scout	No
sharpeningknifea	Sharpening Knife	Scout	A
sharpeningknifeb	Sharpening Knife	Scout	B
sharpeningkniferare	Sharpening Knife	Scout	Rare
shiv	Shiv	Scout	No
shiva	Shiv	Scout	A
shivb	Shiv	Scout	B
shivrare	Shiv	Scout	Rare
shrapnelshot	Shrapnel Shot	Scout	No
shrapnelshota	Shrapnel Shot	Scout	A
shrapnelshotb	Shrapnel Shot	Scout	B
shrapnelshotrare	Shrapnel Shot	Scout	Rare
slice	Slice	Scout	No
slicea	Slice	Scout	A
sliceb	Slice	Scout	B
slicerare	Slice	Scout	Rare
smokebomb	Smoke Bomb	Scout	No
smokebomba	Smoke Bomb	Scout	A
smokebombb	Smoke Bomb	Scout	B
smokebombrare	Smoke Bomb	Scout	Rare
sneakpeek	Sneak Peek	Scout	No
sneakpeeka	Sneak Peek	Scout	A
sneakpeekb	Sneak Peek	Scout	B
sneakpeekrare	Sneak Peek	Scout	Rare
sneakystrike	Sneaky Strike	Scout	No
sneakystrikea	Sneaky Strike	Scout	A
sneakystrikeb	Sneaky Strike	Scout	B
sneakystrikerare	Sneaky Strike	Scout	Rare
snipershot	Sniper Shot	Scout	No
snipershota	Sniper Shot	Scout	A
snipershotb	Sniper Shot	Scout	B
snipershotrare	Sniper Shot	Scout	Rare
songofcelerity	Song of Celerity	Scout	No
songofceleritya	Song of Celerity	Scout	A
songofcelerityb	Song of Celerity	Scout	B
songofcelerityrare	Song of Celerity	Scout	Rare
songofquickness	Song of Quickness	Scout	No
songofquicknessa	Song of Quickness	Scout	A
songofquicknessb	Song of Quickness	Scout	B
songofquicknessrare	Song of Quickness	Scout	Rare
sprint	Sprint	Scout	No
sprinta	Sprint	Scout	A
sprintb	Sprint	Scout	B
sprintrare	Sprint	Scout	Rare
stoneskin	Stoneskin	Scout	No
stoneskina	Stoneskin	Scout	A
stoneskinb	Stoneskin	Scout	B
stoneskinrare	Stoneskin	Scout	Rare
stormjavelin	Storm Javelin	Scout	No
stormjavelina	Storm Javelin	Scout	A
stormjavelinb	Storm Javelin	Scout	B
stormjavelinrare	Storm Javelin	Scout	Rare
sweetmelody	Sweet Melody	Scout	No
sweetmelodya	Sweet Melody	Scout	A
sweetmelodyb	Sweet Melody	Scout	B
sweetmelodyrare	Sweet Melody	Scout	Rare
tacticalthinking	Tactical Thinking	Scout	No
tacticalthinkinga	Tactical Thinking	Scout	A
tacticalthinkingb	Tactical Thinking	Scout	B
tacticalthinkingrare	Tactical Thinking	Scout	Rare
tediouspoem	Tedious Poem	Scout	No
tediouspoema	Tedious Poem	Scout	A
tediouspoemb	Tedious Poem	Scout	B
tediouspoemrare	Tedious Poem	Scout	Rare
toxicrain	Toxic Rain	Scout	No
toxicraina	Toxic Rain	Scout	A
toxicrainb	Toxic Rain	Scout	B
toxicrainrare	Toxic Rain	Scout	Rare
toxicstrike	Toxic Strike	Scout	No
toxicstrikea	Toxic Strike	Scout	A
toxicstrikeb	Toxic Strike	Scout	B
toxicstrikerare	Toxic Strike	Scout	Rare
trace	Trace	Scout	No
tracea	Trace	Scout	A
traceb	Trace	Scout	B
tracerare	Trace	Scout	Rare
tuneup	Tune Up	Scout	No
tuneupa	Tune Up	Scout	A
tuneupb	Tune Up	Scout	B
tuneuprare	Tune Up	Scout	Rare
uproot	Uproot	Scout	No
uproota	Uproot	Scout	A
uprootb	Uproot	Scout	B
uprootrare	Uproot	Scout	Rare
vanish	Vanish	Scout	No
vanisha	Vanish	Scout	A
vanishb	Vanish	Scout	B
vanishrare	Vanish	Scout	Rare
vexingcrescendo	Vexing Crescendo	Scout	No
vexingcrescendoa	Vexing Crescendo	Scout	A
vexingcrescendob	Vexing Crescendo	Scout	B
vexingcrescendorare	Vexing Crescendo	Scout	Rare
vigilance	Vigilance	Scout	No
vigilancea	Vigilance	Scout	A
vigilanceb	Vigilance	Scout	B
vigilancerare	Vigilance	Scout	Rare
viperstrike	Viper Strike	Scout	No
viperstrikea	Viper Strike	Scout	A
viperstrikeb	Viper Strike	Scout	B
viperstrikerare	Viper Strike	Scout	Rare
vitalizingserenade	Vitalizing Serenade	Scout	No
vitalizingserenadea	Vitalizing Serenade	Scout	A
vitalizingserenadeb	Vitalizing Serenade	Scout	B
vitalizingserenaderare	Vitalizing Serenade	Scout	Rare
volley	Volley	Scout	No
volleya	Volley	Scout	A
volleyb	Volley	Scout	B
volleyrare	Volley	Scout	Rare
weaponcache	Weapon Cache	Scout	No
weaponcachea	Weapon Cache	Scout	A
weaponcacheb	Weapon Cache	Scout	B
weaponcacherare	Weapon Cache	Scout	Rare
whisperinglies	Whispering Lies	Scout	No
whisperingliesa	Whispering Lies	Scout	A
whisperingliesb	Whispering Lies	Scout	B
whisperingliesrare	Whispering Lies	Scout	Rare
wickedcraftsman	Wicked Craftsman	Scout	No
wickedcraftsmana	Wicked Craftsman	Scout	A
wickedcraftsmanb	Wicked Craftsman	Scout	B
wickedcraftsmanrare	Wicked Craftsman	Scout	Rare
abyssalsonataspecial	Abyssal Sonata	Special	No
adventureawaits	Adventure Awaits	Special	No
anklebiteitem	Ankle Bite	Special	No
anklebiteitemrare	Ankle Bite	Special	Rare
antimagicfieldspecial	Antimagic Field	Special	No
ashstormcorruption	Ash Storm	Monster	No
ashstormcorruptiona	Ash Storm	Monster	A
ashstormcorruptionb	Ash Storm	Monster	B
ashstormcorruptionrare	Ash Storm	Monster	Rare
astralhowlpet	Astral Howl	Special	No
atonement	Atonement	Special	No
awfultantrumitem	Awful Tantrum	Special	No
banish	Banish	Special	No
bass	Bass	Special	No
bassrare	Bass	Special	Rare
bewilderspecial	Bewilder	Special	No
birdofprey	Bird of Prey	Special	No
birdofpreya	Bird of Prey	Special	A
birdofpreyb	Bird of Prey	Special	B
birdofpreyrare	Bird of Prey	Special	Rare
blackdeath	Black Death	Special	No
bloodsausage	Blood Sausage	Special	No
bloodsausagea	Blood Sausage	Special	A
bloodsausageb	Blood Sausage	Special	B
bloodsuckeritem	Bloodsucker	Special	No
bloodsuckeritemb	Bloodsucker	Special	No
bonk	Bonk	Special	No
bouncyembersitem	Bouncy Embers	Special	No
burntcarp	Burnt Carp	Special	No
captainshowl	Captain's Howl	Special	No
carp	Carp	Special	No
carprare	Carp	Special	Rare
clairvoyanceitem	Clairvoyance	Special	No
clairvoyanceitemb	Clairvoyance	Special	No
coldburst	Cold Burst	Monster	No
coldbursta	Cold Burst	Monster	A
coldburstb	Cold Burst	Monster	B
coldburstrare	Cold Burst	Monster	Rare
coldhands	Cold Hands	Monster	No
coldhandsa	Cold Hands	Monster	A
coldhandsb	Cold Hands	Monster	B
coldhandsrare	Cold Hands	Monster	Rare
coldspark	Cold Spark	Special	No
consecrationesp	Consecration	Special	No
consecrationespa	Consecration	Special	A
consecrationespb	Consecration	Special	B
craftgem	Craft: Gem	Special	No
craftpanacea	Craft: Panacea	Special	No
craftpoison	Craft: Poison	Special	No
culltheweakspecial	Cull the Weak	Special	No
cycloneslashspecial	Cyclone Slash	Special	No
darkflashitem	Dark Flash	Special	No
divinegrace	Divine Grace	Special	No
eldritchdischarge	Eldritch Discharge	Special	No
elementalnovaspecial	Elemental Wave	Special	No
elementalnovaspecialb	Elemental Wave	Special	No
emberstormspecial	Emberstorm	Special	No
emberstormspeciala	Emberstorm	Special	A
emberstormspecialb	Emberstorm	Special	B
enchantment	Enchantment	Special	No
enchantment2	Enchantment2	Special	No
experttracker	Expert Tracker	Special	No
falconshot	Falcon Shot	Special	No
fieryshield	Fiery Shield	Special	No
fireemberitem	Fire Ember	Special	No
flashitem	Flash	Special	No
freezecorruption	Freeze	Monster	No
freezecorruptiona	Freeze	Monster	A
freezecorruptionb	Freeze	Monster	B
freezecorruptionrare	Freeze	Monster	Rare
freshmeatyogger	Fresh Meat!	Special	No
frostdischarge	Frost Discharge	Special	No
frozencarp	Frozen Carp	Special	No
furiouscarp	Furious Carp	Special	No
gorge	Gorge	Special	No
gorgea	Gorge	Special	A
gorgeb	Gorge	Special	B
gourmetmeat	Gourmet Meat	Special	No
hatchcorrupt	Hatch	Monster	No
hatchcorrupta	Hatch	Monster	A
hatchcorruptb	Hatch	Monster	B
hatchcorruptrare	Hatch	Monster	Rare
heatassimilationitem	Heat Assimilation	Special	No
heatlaser	Heat Laser	Special	No
hellmarkitem	Hell Mark	Special	No
hellmarkitema	Hell Mark	Special	A
hellmarkitemrare	Hell Mark	Special	Rare
holysmiteitem	Holy Smite	Special	No
howl	Howl	Special	No
howlpet	Howl	Special	No
howlrare	Howl	Special	Rare
improvedfireball	Improved Fireball	Special	No
improvedrapidfire	Improved Rapid Fire	Special	No
killerinstinc	Killer Instinct	Special	No
lasthope	Last Hope	Special	No
lasthoperare	Last Hope	Special	Rare
lightningboltboon	Lightning Bolt	Special	No
lightningboltchallen	Lightning Bolt	Special	No
lightningboltcorrption	Lightning Bolt	Monster	No
lightningboltitem	Lightning Bolt	Special	No
malediction	Malediction	Special	No
meat	Meat	Special	No
meato	Meat	Monster	No
megabonk	Mega Bonk	Special	No
meteoritecorruption	Meteorite	Monster	No
meteoritecorruptiona	Meteorite	Monster	A
meteoritecorruptionb	Meteorite	Monster	B
meteoritecorruptionrare	Meteorite	Monster	Rare
moonfireitem	Moonfire	Special	No
overheatitem	Overheat	Special	No
overheatitemrare	Overheat	Special	Rare
paralizingvenomitem	Paralyzing Venom	Special	No
pebblethrow	Pebble Throw	Special	No
pebblethrowrare	Pebble Throw	Special	Rare
plaguerat	Plague Rat	Special	No
plaguerata	Plague Rat	Special	A
plagueratb	Plague Rat	Special	B
poisonousbiteitem	Poisonous Bite	Special	No
poisonsplashitem	Poison Splash	Special	No
poisonsplashitemb	Poison Splash	Special	No
powerslave	Powerslave	Special	No
premiummeat	Premium Meat	Special	No
premiummeato	Premium Meat	Monster	No
protectspecial	Protect	Special	No
pufferfish	Pufferfish	Special	No
pufferfishrare	Pufferfish	Special	Rare
purgethewicked	Purge the Wicked	Special	No
purgethewickeda	Purge the Wicked	Special	A
purgethewickedb	Purge the Wicked	Special	B
quillrain	Quill Rain	Special	No
quillrainrare	Quill Rain	Special	Rare
reprisal	Reprisal	Special	No
reprisalrare	Reprisal	Special	Rare
riftclawitem	Rift Claw	Special	No
riftclawitemrare	Rift Claw	Special	Rare
rob	Rob	Special	No
rottenmeat	Rotten Meat	Monster	No
sad	Sad	Monster	No
searingblast	Searing Blast	Special	No
searingblastrare	Searing Blast	Special	Rare
sharpenspecial	Sharpen	Special	No
shieldgeneratoritem	Shield Generator	Special	No
shieldgeneratoritemb	Shield Generator	Special	Rare
spoiledmeat	Spoiled Meat	Special	No
spoiledmeato	Spoiled Meat	Monster	No
starfallitem	Starfall	Special	No
starfallottis	Starfall	Special	No
arcaneconduit	Arcane Conduit	Special	No
arcaneconduita	Arcane Conduit	Special	A
arcaneconduitb	Arcane Conduit	Special	B
arcanereflux	Arcane Reflux	Special	No
arcanerefluxa	Arcane Reflux	Special	A
arcanerefluxb	Arcane Reflux	Special	B
atonementstart	Atonement	Special	No
atonementstarta	Atonement	Special	A
atonementstartb	Atonement	Special	B
banishstart	Banish	Special	No
banishstarta	Banish	Special	A
banishstartb	Banish	Special	B
blackdeathstart	Black Death	Special	No
blackdeathstarta	Black Death	Special	A
blackdeathstartb	Black Death	Special	B
blacktalons	Black Talons	Special	No
blacktalonsa	Black Talons	Special	A
blacktalonsb	Black Talons	Special	B
captainshowlstart	Captain's Howl	Special	No
captainshowlstarta	Captain's Howl	Special	A
captainshowlstartb	Captain's Howl	Special	B
chillinggaze	Chilling Gaze	Special	No
chillinggazea	Chilling Gaze	Special	A
chillinggazeb	Chilling Gaze	Special	B
circuitoverload	Circuit Overload	Special	No
circuitoverloada	Circuit Overload	Special	A
circuitoverloadb	Circuit Overload	Special	B
coldsparkstart	Cold Spark	Special	No
coldsparkstarta	Cold Spark	Special	A
coldsparkstartb	Cold Spark	Special	B
deadlystrikes	Deadly Strikes	Special	No
deadlystrikesa	Deadly Strikes	Special	A
deadlystrikesb	Deadly Strikes	Special	B
defiledlegacy	Defiled Legacy	Special	No
defiledlegacya	Defiled Legacy	Special	A
defiledlegacyb	Defiled Legacy	Special	B
divinegracestart	Divine Grace	Special	No
divinegracestarta	Divine Grace	Special	A
divinegracestartb	Divine Grace	Special	B
divineretribution	Divine Retribution	Special	No
divineretributiona	Divine Retribution	Special	A
divineretributionb	Divine Retribution	Special	B
divinireprotection	Holy Symbol	Special	No
doublebubble	Double Bubble	Special	No
doublebubblea	Double Bubble	Special	A
doublebubbleb	Double Bubble	Special	B
doubleshot	Double Shot	Special	No
doubleshota	Double Shot	Special	A
doubleshotb	Double Shot	Special	B
dualwield	Dual Wield	Special	No
dualwielda	Dual Wield	Special	A
dualwieldb	Dual Wield	Special	B
eldritchdischargestart	Eldritch Discharge	Special	No
eldritchdischargestarta	Eldritch Discharge	Special	A
eldritchdischargestartb	Eldritch Discharge	Special	B
electricweapons	Electric Weapons	Special	No
electricweaponsa	Electric Weapons	Special	A
electricweaponsb	Electric Weapons	Special	B
elementalproliferation	Elemental Proliferation	Special	No
elementalproliferationa	Elemental Proliferation	Special	A
elementalproliferationb	Elemental Proliferation	Special	B
elvenagility	Elven Agility	Special	No
elvenagilitya	Elven Agility	Special	A
elvenagilityb	Elven Agility	Special	B
enchantweapons	Enchant Weapons	Special	No
enchantweaponsa	Enchant Weapons	Special	A
enchantweaponsb	Enchant Weapons	Special	B
encore	Encore	Special	No
encorea	Encore	Special	A
encoreb	Encore	Special	B
etherealweapons	Ethereal Weapons	Special	No
etherealweaponsa	Ethereal Weapons	Special	A
etherealweaponsb	Ethereal Weapons	Special	B
excaliburn	Excaliburn	Special	No
excaliburna	Excaliburn	Special	A
excaliburnb	Excaliburn	Special	B
experttrackerstart	Expert Tracker	Special	No
